,primary key,before,after
0,금천리메인씨티,시흥대로 224,서울 금천구 시흥대로 224
0,금천엠타워관리실,시흥대로73길 63,
0,금호건설,한강대로23길 25(한강로3가) 금호건설,
0,금호프라자,상계로 5길 32,서울 노원구 상계로5길 32
0,기업은행,노해로 489,서울 노원구 노해로 489
0,길음서희스타힐스,동소문로 284(하월곡동 229),
0,김ㅇ,영중로 15(영등포동4가 442),
0,김ㅇㅇ,,서울 성북구 개운사길 83-15
0,김영배,,서울 성북구 개운사길 83-15
0,김진성 ㈜버티고,연세로 8-1(창천동 18-58),
0,꿈의숲 SK뷰 아파트,월계로42길 97 (월계1동 531),
0,나라키움 중부세무서,퇴계로 170,서울 중구 퇴계로 170
0,나이스인프라(주),은행로 17(여의도동 14-33),
0,나인트리호텔,초동 72-10,서울 중구 마른내로 28
0,남부빌딩관리단,신정4동 1009-6,서울 양천구 신월로 389
0,남산SK리더스뷰,퇴계로 72(회현동1가),
0,남현제1공영주차장,관악구 남현동1063-1,
0,네오트랜스㈜,"서초동 ,강남역환기구1번",
0,노고산동 복합시설 개발사업 신축공사,노고산동 56-74,서울 마포구 서강로 121
0,노블씨티,중계동 366-11,서울 노원구 한글비석로 276
0,노빌리안골드,노해로 452,서울 노원구 노해로 452
0,농심신대방사옥,여의대방로 112,서울 동작구 여의대방로 112
0,농협하나로마트,신촌로 66 (노고산동),
0,누리꿈스퀘어,월드컵북로 396 (상암동),
0,눈스퀘어,명동길 14,서울 중구 명동길 14
0,뉴티캐슬,가산디지털2로 108(가산동 429-1),
0,다모아빌딩,마들로 11가길 12,서울 도봉구 마들로11가길 12
0,다산건설엔지니어링㈜,논현로175길 101-4(신사동 525-12),
0,당산센트럴아이파크,서울특별시 영등포구 영신로 247(당산동5가 4-13),
0,당산역해링턴타워관리위원회,서울 영등포구 당산로 205,서울 영등포구 당산로 205
0,당인리 화력발전소 ㈜포스코건설,합정동 55-1,서울 마포구 토정로 56
0,당인리 화력발전소㈜포스코건설,합정동 55-1,서울 마포구 토정로 56
0,대덕프라자,노원로 1길 67,대구 북구 노원로1길 67
0,대동빌딩,방학로 177,서울 도봉구 방학로 177
0,대동아파트,창5동 811(도봉로642-30),
0,대륭테크노타운7차,서부샛길 638(가산동 489-11),
0,대림산업(주)광화문D타워,청진동 249,
0,대림아크로빌,목동서로 101(신정동),
0,대상건설(주),"미아동 811-2 ,종합체육센터(동서건설)",
0,대신빌딩,노원로 236,대구 북구 노원로 236
0,대신증권㈜,삼일대로 343,서울 중구 삼일대로 343
0,대우미래사랑,월드컵북로5나길 18(서교동),
0,대우월드마크용산,한강대로 211 (한강로1가 64 ),
0,대우유토피아오피스텔,올림픽로 336,서울 송파구 올림픽로 336
0,대우한강베네시티,올림픽로 664(천호동),
0,대표이사,서초대로 286(서초동 1573-1),
0,대한불교조계종불광사,백제고분로39길 35(석촌동 160-1),
0,대한예수교장로회 은혜 광성교회,구천면로31길 20 (천호동 399-21),
0,대한예수교장로회방주교회,"서울특별시 서초구 방배천로24길 8(방배동 425-2 ,방주교회 )",
0,대한예수교장로회총회,남부순환로 2221(방배동 490-1),
0,더 뮤지엄 한국증권금융,한남동 51-13,
0,더 스테이트 선유,서울특별시 영등포구 (양평동5가 62),
0,더루벤스밸리,가산디지털1로 1(가산동 691-3),
0,더리브세종타워II,아차산로 126 (성수동2가),
0,더스페이스성수,광나루로 144 (성수동1가),
0,더클래스효성,효령로55길 65(서초동 1597-7),
0,더클래스효성(주),서울특별시 서초구 효령로55길 65(서초동 1597-7),
0,더플레이스,시흥대로 164,서울 금천구 시흥대로 164
0,더하우스소호여의도관리단,서울 영등포구 의사당대로 26,서울 영등포구 의사당대로 26
0,더하우스소호여의도오피스텔,의사당대로 26,서울 영등포구 의사당대로 26
0,더효종합건설,서울 관악구 난곡로 331 신대방노블루체 301호,
0,덕수궁롯데캐슬,서소문로9길 28,서울 중구 서소문로9길 28
0,도드람통합사옥,고덕동 98-7,서울 강동구 고덕비즈밸리로2가길 20
0,도봉 새마을 금고,도당로134,서울 도봉구 도당로 134
0,도봉 힐스테이트 웰가,도봉로180나길 3,
0,도봉동 앰블램오피스텔,도봉동 62-1,서울 도봉구 도봉로180길 38
0,도봉새마을금고,도당로 134,서울 도봉구 도당로 134
0,도봉월드,마들로 650,서울 도봉구 마들로 650
0,도봉한양 수자인아파트,도봉2동657(마들로724),
0,도봉한양수자인아파트,도봉2동657(마들로724),
0,도원교통,정릉로10길 17,서울 성북구 정릉로10길 17
0,도충락 외 1명,서울특별시 서초구 (반포동 723-3),
0,동국제강(페럼타워),을지로5길 19(수하동),
0,동남공영㈜,남현동1063-1(남현소공원 지하공영주차장),
0,동대문구청장,천호대로 145(용두동 39-9),
0,동대문밀레오레,장충단로 263(을지로6가),
0,동대문와이즈캐슬,퇴계로 75길 7,서울 중구 퇴계로75길 7
0,동대문종합사회복지관,약령시로5길 22(제기동 220),
0,동대문패션TV,을지로 264(을지로6가),
0,동문비젼오피스텔,"목동서로 287, (신정동)",
0,동부흑석센트레빌,흑석한강로 12,서울 동작구 흑석한강로 12
0,동북선 1구역(금호건설),종암로 45,서울 성북구 종암로 45
0,동성아파트,모래내로3길 4 (성산동),
0,동아아파트 상가,"경인로 643 (신도림동, 동아아파트)",
0,동아일보사,충정로 29(충정로3가 139),
0,"동아일보사옥, 두산위브",성내천로 103(오금동 135),
0,"동우개발㈜, 엘루이시티",방이동 28-2,서울 송파구 올림픽로30길 9
0,동우리힐스,천호대로 380-7(용답동),
0,동우자인채스토리 상암 신축공사,월드컵로34길 20(성산동)지하5층,
0,동원건설산업(주),마방로 68(양재동 275),
0,동익엔지니어링,서초대로 301(서초동 1692-1),
0,동일방직(주),"테헤란로 516(대치동 944-1 ,정헌빌딩 )",
